Fir,1
Flower,20
Leaf,3
Nuts,33
Aromatic,1
Hay,1
Lactone,1
Wet,1
Melon,3
Beeswax,1
Yeast,3
Herb,28
Fat,37
Camomile,1
Brandy,5
Green Bean,1
Burnt,11
Spearmint,2
Spice,75
Roasted Nut,6
Waxy,1
Bell Pepper,1
Pleasant,2
Cucumber,5
Apricot,8
Plum,3
Cut Grass,1
Coconut,7
Candy,3
Cat,5
Cooked,1
Bread Crust,1
Pine,7
Putty,1
Grass,8
Green Fruit,2
Wine,10
Foxy,1
Penetrating,3
Mandarin,1
Honey,21
Fennel,3
Horseradish,1
Arise,1
Sharp,4
Must,14
Toasted Nut,1
Peanut Butter,2
Lemon,7
Harsh,1
Cooked Meat,3
Rose,20
Cotton Candy,2
Licorice,2
Thiamin,1
Walnut,2
Creamy,3
Geranium,3
Grapefruit,8
Potato,7
Stable,2
Savory,243
Sulfur,32
Roasted Meat,4
Roasted Onion,3
Cedarwood,2
Meat Broth,4
Wet Hay,1
Gravy,1
Rum,6
Citrus,20
Fusel Oil,1
Roasted Corn,1
Eucalyptol,1
Heat,9
Warm,3
Watermelon,1
Cereal,2
Hot Milk,1
Raspberry,1
Dull,1
Cool,43
Cooked potato,2
Black Currant,11
Baked,2
Malt,7
Silage,1
Green,203
Berry,3
Polish,3
Tallow,2
Curry,3
Fruity,4
Basil,2
Fragrant,7
Green Apple,3
Marshmallow,1
Soup,1
Fish,6
Almond,9
Lavender,2
Blue Cheese,2
Roast Beef,2
Mango,4
Pastry,1
Unripe Banana,1
Violet,3
Nutmeg,1
Fruit Gum,1
Durian,4
Sweat,1
Grape,4
Anise,7
Roasted Garlic,1
Tomato Leaf,1
Rubber,9
Green Pepper,2
Dairy,47
Brown Sugar,1
Phenol,9
Wax,6
Burnt Sugar,1
Orange,4
Linoleum,1
Lily,1
Leek,4
Alcohol,1
Toasted Cereal,2
Greenery,1
Pepper,4
Apple ,1
Petrol,1
Iron Scorch,1
Rhubarb,1
Pear,7
Cooked Nut,1
Tropical Fruit,7
Deep Fried,3
Garlic,14
Moss,3
Peanut,1
Dust,3
Pyridine,1
Fish Oil,1
Bread,2
Butter,13
Green Leaf,3
Mouthfeel,6
Prune,2
Onion,23
Asparagus,1
Baked Potatoes,1
Stinging Nettle,1
Pungent,33
Floral,267
Caramel,11
Cinnamon,2
Roast,18
Kiwi,1
Fried,4
Box Tree,2
Cheese,17
Overripe Fruit,1
Lilac,1
Radish,2
Nut,19
Orris,1
Cognac,1
Glue,2
Oxidized,2
Coriander,3
Clove,4
Almonds,1
Fermented,2
Peach,13
Cherry,2
Balsamic,11
Cotton,1
Celery,2
Ester,5
Wood,17
Hop,1
Vegetable,2
Truffle,1
Fabric,1
Mothball,2
Dry Fish,1
Banana,14
Cocoa,20
Mustard,2
Oil,23
Solvent,4
Thyme,1
Mushroom,8
Lettuce,1
Apple Peel,3
Bitter,6
Astringent,1
Jasmine,1
Paper,1
Tomato,1
Leather,1
Red Fruit,2
Fruit,444
Hazelnut,6
Cabbage,14
Carbide,1
Vanilla,2
Seaweed,1
Vinegar,2
Caraway,4
Organic,1
Meat,10
Wet Earth,2
Lemon Peel,1
Coffee,8
Peppermint,1
Orange Peel,2
Strawberry,8
Sour,9
Umami,5
Camphor,12
Pineapple,17
Popcorn,7
Fresh,13
Roasted Pepper,1
Passion Fruit,3
Bitter Almond,3
Fatty,1
Dill,1
Burnt Matches,1
Apple,22
Roasted Bread,1
Straw,1
Mold,3
Boiled Vegetable,1
Cresol,1
Mocha,1
Dandelion,1
Boiled Cherries,1
Wet Wool,1
Maple,1
Roasted,9
Soy,3
Earth,15
Acid,2
Mint,52
Boiled Apple,2
