Recipe ID,Recipe Name,No_of_shared_molecules_Tea1,No_of_shared_molecules_Tea2,No_of_shared_molecules_Tea3
R000001,Chicken Tikka Masala,12,18,170
R000002,Black Peas,10,13,111
R000003,Bangers and mash,10,14,144
R000004,Bubble and Squeak,10,13,126
R000005,Fish and Chips,9,13,111
R000006,Welsh Rarebit,7,12,128
R000007,Yorkshire Pudding,6,9,104
R000008,Banoffee Pie,8,12,124
R000009,Battenburg Cake,11,16,147
R0000010,Bread and Butter Pudding,11,15,142
R0000011,Toad-in-the-Hole,6,10,86
R0000012,Pork & apple sauce,11,15,141
R0000013,Victoria Sponge Cake,7,10,101
R0000014,Shephard's Pie,10,14,138
R0000015,Cumberland sausage,11,15,157
R0000016,Cottage Pie,10,14,156
R0000017,Pork Pie,9,13,123
R0000018,Eton Mess,9,12,100
R0000020,Crumpets,15,22,175
R0000021,Piccalilli,12,16,135
R0000022,Berry Trifle,10,15,137
R0000023,Slotty Clake,9,12,109
R0000024,Boiled ham with pease pudding,5,8,95
R0000025,British Scones,10,14,142
R0000026,Mushy Peas,6,10,108
R0000027,Lancashire Hot Pot,6,8,112
R0000028,Cawl (Traditional Welsh Broth),9,12,110
R0000029,Eccles Cakes,11,15,126
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,11,15,174
R0000031,Lamb Cobbler,6,8,96
R0000032,Sticky toffee pudding,10,15,163
R0000033,Summer Pudding,8,14,115
R0000034,Pound Cake,10,13,126
R0000035,Roast beef with caramelised onion gravy,9,13,114
R0000036,Roast lamb with spring herb crumbs,8,12,112
R0000037,Full English breakfast,8,11,105
R0000038,Lemon syllabub,13,17,139
R0000039,Treacle Tart,8,12,125
R0000040,Potted Shrimps,9,12,86
R0000041,Scouse,12,16,144
R0000042,Mince pies,8,12,125
R0000043,Queen Of Puddings,12,17,158
R0000044,Beef Pasties,8,12,128
R0000045,Steamed Lemon Pudding with Treacle Sauce,11,15,133
R0000046,Spotted dick with lemon syrup,11,17,138
R0000047,Fifteens,6,9,86
R0000048,Plain Madeira Cake,7,11,95
R0000049,Classic bread and butter pudding,11,15,132
R0000050,Swiss Roll ,10,14,106
R0000051,Liver and Onions,10,14,138
R0000052,wild rabbit stew,8,13,117
R0000053,bath buns,7,10,104
R0000054,Chocolate battenberg,11,15,161
R0000055,Potted crab with asparagus,9,13,122
R0000056,branbury cakes,12,18,162
R0000057,brown shrimps on toast,4,6,90
R0000058,cambridge burnt cream,6,9,78
R0000059,Wholegrain mustard,7,10,49
R0000060,onion gravy,9,12,148
R0000061,Beef trencher,8,13,149
R0000062,Pea and ham soup,7,8,76
R0000063,Apple Crumble,4,6,86
R0000064,Turkey Wellingtons,10,13,132
R0000065,British simnel cakes,12,17,171
R0000066,Easy Devonshire Cream,4,6,67
R0000067,Irish Bacon and Cabbage Soup,11,13,113
R0000068,Langoustines with lemon & pepper butter,9,13,161
R0000069,Eggs Benedict,12,16,182
R0000070,Simple soda bread,3,5,49
R0000071,Chicken in a pot,11,14,129
R0000072,Vanilla Pudding,11,14,122
R0000073,Tarragon Chicken Salad Tea Sandwiches,10,14,132
R0000074,Prosecco jelly,11,16,152
R0000075,Whitebait & dill mayo,9,13,80
R0000076,"Sliced fennel, orange & almond salad",10,14,97
R0000077,Watermelon & feta salad,10,13,100
R0000078,Mini vegan doughnuts,11,16,155
R0000079,citrus shortbread,9,13,111
R0000080,Potato Candy,8,14,123
R0000081,PassionFruit Melting Moments,4,7,75
R0000082,Winter pea & bean braise,10,14,157
R0000083,Chicken wellingtons with creamy pea sauce,9,13,148
R0000084,Spiced raisin rice pudding,11,17,128
R0000085,Pumpkin and prosciutto lasagne,8,8,67
R0000086,Potato Crisps,6,8,72
R0000087,Bacon and cheese nachos,12,17,154
R0000088,Colcannon,11,15,134
R0000089,whole roasted pheasant,8,12,153
R0000090,Beef & barley bun with horseradish,9,13,167
R0000091,Cock a Leekie Soup,7,10,89
R0000092,British roots,10,14,123
R0000093,Posh beans toast,11,16,149
R0000094,"Sweet potato hash brown with tomato, bacon and egg",12,16,148
R0000095,Leek & potato soup with blue cheese toast,10,14,132
R0000096,Corned beef with parsley sauce,8,12,148
R0000097,Apple and butterscotch sponge pudding,12,15,123
R0000098,Creamed spinach,8,10,90
R0000099,Baked rice pudding,9,15,119
R00000100,Traditional shortbread,6,8,98
