Recipe ID,Recipe Name,No_of_shared_molecules
R000001,Chicken Tikka Masala,12
R000002,Black Peas,10
R000003,Bangers and mash,10
R000004,Bubble and Squeak,10
R000005,Fish and Chips,9
R000006,Welsh Rarebit,7
R000007,Yorkshire Pudding,6
R000008,Banoffee Pie,8
R000009,Battenburg Cake,11
R0000010,Bread and Butter Pudding,11
R0000011,Toad-in-the-Hole,6
R0000012,Pork & apple sauce,11
R0000013,Victoria Sponge Cake,7
R0000014,Shephard's Pie,10
R0000015,Cumberland sausage,11
R0000016,Cottage Pie,10
R0000017,Pork Pie,9
R0000018,Eton Mess,9
R0000020,Crumpets,15
R0000021,Piccalilli,12
R0000022,Berry Trifle,10
R0000023,Slotty Clake,9
R0000024,Boiled ham with pease pudding,5
R0000025,British Scones,10
R0000026,Mushy Peas,6
R0000027,Lancashire Hot Pot,6
R0000028,Cawl (Traditional Welsh Broth),9
R0000029,Eccles Cakes,11
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,11
R0000031,Lamb Cobbler,6
R0000032,Sticky toffee pudding,10
R0000033,Summer Pudding,8
R0000034,Pound Cake,10
R0000035,Roast beef with caramelised onion gravy,9
R0000036,Roast lamb with spring herb crumbs,8
R0000037,Full English breakfast,8
R0000038,Lemon syllabub,13
R0000039,Treacle Tart,8
R0000040,Potted Shrimps,9
R0000041,Scouse,12
R0000042,Mince pies,8
R0000043,Queen Of Puddings,12
R0000044,Beef Pasties,8
R0000045,Steamed Lemon Pudding with Treacle Sauce,11
R0000046,Spotted dick with lemon syrup,11
R0000047,Fifteens,6
R0000048,Plain Madeira Cake,7
R0000049,Classic bread and butter pudding,11
R0000050,Swiss Roll ,10
R0000051,Liver and Onions,10
R0000052,wild rabbit stew,8
R0000053,bath buns,7
R0000054,Chocolate battenberg,11
R0000055,Potted crab with asparagus,9
R0000056,branbury cakes,12
R0000057,brown shrimps on toast,4
R0000058,cambridge burnt cream,6
R0000059,Wholegrain mustard,7
R0000060,onion gravy,9
R0000061,Beef trencher,8
R0000062,Pea and ham soup,7
R0000063,Apple Crumble,4
R0000064,Turkey Wellingtons,10
R0000065,British simnel cakes,12
R0000066,Easy Devonshire Cream,4
R0000067,Irish Bacon and Cabbage Soup,11
R0000068,Langoustines with lemon & pepper butter,9
R0000069,Eggs Benedict,12
R0000070,Simple soda bread,3
R0000071,Chicken in a pot,11
R0000072,Vanilla Pudding,11
R0000073,Tarragon Chicken Salad Tea Sandwiches,10
R0000074,Prosecco jelly,11
R0000075,Whitebait & dill mayo,9
R0000076,"Sliced fennel, orange & almond salad",10
R0000077,Watermelon & feta salad,10
R0000078,Mini vegan doughnuts,11
R0000079,citrus shortbread,9
R0000080,Potato Candy,8
R0000081,PassionFruit Melting Moments,4
R0000082,Winter pea & bean braise,10
R0000083,Chicken wellingtons with creamy pea sauce,9
R0000084,Spiced raisin rice pudding,11
R0000085,Pumpkin and prosciutto lasagne,8
R0000086,Potato Crisps,6
R0000087,Bacon and cheese nachos,12
R0000088,Colcannon,11
R0000089,whole roasted pheasant,8
R0000090,Beef & barley bun with horseradish,9
R0000091,Cock a Leekie Soup,7
R0000092,British roots,10
R0000093,Posh beans toast,11
R0000094,"Sweet potato hash brown with tomato, bacon and egg",12
R0000095,Leek & potato soup with blue cheese toast,10
R0000096,Corned beef with parsley sauce,8
R0000097,Apple and butterscotch sponge pudding,12
R0000098,Creamed spinach,8
R0000099,Baked rice pudding,9
R00000100,Traditional shortbread,6
